frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_11472.jpg,41,25,0,13,3,0,1,42
frame_11476.jpg,39,25,0,12,2,0,1,40
frame_1148.jpg,40,35,0,5,0,0,3,43
frame_11480.jpg,37,24,0,11,2,0,1,38
frame_11484.jpg,35,23,0,10,2,0,1,36
frame_11488.jpg,30,19,0,11,0,0,1,31
frame_11492.jpg,35,20,0,13,2,0,1,36
frame_11496.jpg,32,20,0,12,0,0,1,33
frame_11500.jpg,27,15,0,12,0,0,1,28
frame_11504.jpg,30,20,0,10,0,0,2,32
frame_11508.jpg,34,23,0,10,1,0,1,35
frame_11512.jpg,34,22,0,12,0,0,1,35
frame_11516.jpg,35,22,0,12,1,0,2,37
frame_1152.jpg,43,34,0,7,2,0,1,44
frame_11520.jpg,32,20,0,12,0,0,1,33
frame_11524.jpg,33,23,0,9,1,0,1,34
frame_11528.jpg,31,20,0,10,1,0,2,33
frame_11532.jpg,32,18,0,13,1,0,1,33
frame_11536.jpg,38,26,0,12,0,0,2,40
frame_11540.jpg,35,22,0,12,1,0,2,37
frame_11544.jpg,34,21,0,13,0,0,1,35
frame_11548.jpg,30,17,0,13,0,0,1,31
frame_11552.jpg,31,20,0,11,0,0,2,33
frame_11556.jpg,27,15,0,12,0,0,1,28
frame_1156.jpg,44,34,0,7,3,0,3,47
frame_11560.jpg,34,19,1,13,1,0,2,36
frame_11564.jpg,30,17,0,13,0,0,1,31
frame_11568.jpg,36,20,1,14,1,0,1,37
frame_11572.jpg,29,17,0,12,0,0,1,30
frame_11576.jpg,28,16,0,12,0,0,1,29
frame_11580.jpg,29,18,1,10,0,0,1,30
frame_11584.jpg,29,17,0,12,0,0,1,30
frame_11588.jpg,28,18,0,10,0,0,1,29
frame_11592.jpg,31,18,2,11,0,0,2,33
frame_11596.jpg,32,21,0,11,0,0,2,34
frame_116.jpg,39,27,0,11,1,0,1,40
frame_1160.jpg,46,37,0,7,2,0,3,49
frame_11600.jpg,31,20,0,11,0,0,2,33
frame_11604.jpg,31,22,0,9,0,0,2,33
frame_11608.jpg,29,18,1,10,0,0,2,31
frame_11612.jpg,31,23,0,8,0,0,2,33
frame_11616.jpg,34,24,1,8,1,0,2,36
frame_11620.jpg,30,22,0,8,0,0,1,31
frame_11624.jpg,26,18,0,8,0,0,1,27
frame_11628.jpg,32,25,0,7,0,0,1,33
frame_11632.jpg,33,24,0,8,1,0,1,34
frame_11636.jpg,30,22,0,8,0,0,2,32
frame_1164.jpg,47,37,1,6,3,0,2,49
frame_11640.jpg,32,25,0,7,0,0,1,33
frame_11644.jpg,24,18,0,6,0,0,1,25
frame_11648.jpg,25,17,0,7,1,0,2,27
frame_11652.jpg,28,20,0,8,0,0,2,30
frame_11656.jpg,28,20,0,7,1,0,2,30
frame_11660.jpg,30,21,0,7,2,0,2,32
frame_11664.jpg,35,25,0,8,2,0,2,37
frame_11668.jpg,33,25,0,6,2,0,2,35
frame_11672.jpg,29,22,0,6,1,0,2,31
frame_11676.jpg,29,22,0,6,1,0,2,31
frame_1168.jpg,42,35,1,4,2,0,3,45
frame_11680.jpg,29,21,0,7,1,0,2,31
frame_11684.jpg,29,19,1,8,1,0,1,30
frame_11688.jpg,31,22,0,9,0,0,1,32
frame_11692.jpg,34,24,0,9,1,0,1,35
frame_11696.jpg,37,26,0,10,1,0,1,38
frame_11700.jpg,36,27,0,8,1,0,1,37
frame_11704.jpg,34,23,1,9,1,0,1,35
frame_11708.jpg,33,24,0,8,1,0,1,34
